split,sequence,total_gt,contain_tp,iog_tp,contain_recall,iog_recall
VAL,0000,711,680,699,95.63994374120956,98.31223628691983
VAL,0001,3010,2946,2985,97.87375415282392,99.16943521594685
VAL,0002,1481,1391,1414,93.92302498311952,95.47602970965563
VAL,0003,388,386,386,99.48453608247422,99.48453608247422
VAL,0004,1062,1050,1053,98.87005649717514,99.15254237288136
VAL,0005,1476,1469,1471,99.52574525745257,99.66124661246613
VAL,0006,762,723,748,94.88188976377953,98.16272965879264
TEST,0007,2613,2576,2603,98.584003061615,99.61729812476081
TEST,0008,1369,1342,1347,98.02775748721695,98.39298758217677
TEST,0009,3776,3743,3766,99.1260593220339,99.73516949152543
TEST,0010,742,741,741,99.86522911051213,99.86522911051213
TEST,0011,3788,3685,3739,97.28088701161562,98.7064413938754
TEST,0012,249,186,188,74.69879518072288,75.50200803212851
TEST,0013,1290,1254,1261,97.20930232558139,97.75193798449612
TEST,0014,649,640,648,98.61325115562404,99.84591679506933
TEST,0015,2188,1590,1683,72.6691042047532,76.91956124314441
TEST,0016,3135,2900,2948,92.50398724082935,94.03508771929825
TEST,0017,883,876,879,99.20724801812004,99.54699886749717
TEST,0018,1413,1409,1410,99.7169143665959,99.78768577494692
TEST,0019,7809,7646,7712,97.91266487386349,98.75784351389423
TEST,0020,6404,6152,6236,96.06495940037476,97.37663960024985
