sequence,recall,sparsity,tp,gt_count
bear,100.0,99.8337093733935,82,82
bike-packing,100.0,99.72894436481393,138,138
blackswan,100.0,99.89799473067916,50,50
bmx-bumps,90.97744360902256,99.73187180154395,121,133
bmx-trees,100.0,99.91561463212334,160,160
boat,100.0,99.94955438459537,75,75
boxing-fisheye,100.0,99.45471558229472,261,261
breakdance,98.80952380952381,99.81946825861492,83,84
breakdance-flare,100.0,99.95506165407745,71,71
bus,100.0,99.62818049863388,80,80
camel,100.0,99.8223013704571,90,90
car-roundabout,94.66666666666667,99.639864689045,71,75
car-shadow,90.0,99.58382123341138,36,40
car-turn,100.0,99.88701149004683,80,80
cat-girl,100.0,99.6592289618767,178,178
classic-car,94.17989417989418,99.34714710109908,178,189
color-run,94.93087557603687,99.87399690067282,206,217
cows,99.03846153846155,99.90482899102265,103,104
crossing,98.07692307692307,99.74542875157628,153,156
dance-jump,100.0,99.7706869633099,60,60
dance-twirl,100.0,99.73079300026018,90,90
dancing,100.0,99.65729741129663,186,186
disc-jockey,25.112107623318387,99.98516171800327,56,223
dog,75.0,99.97375097580017,45,60
dog-agility,100.0,99.4387587822014,25,25
dog-gooses,99.53161592505855,99.66056054045713,425,427
dogs-jump,80.3030303030303,99.96920685189129,159,198
dogs-scale,97.38562091503267,99.6114875191633,298,306
drift-chicane,61.53846153846154,99.98820126253528,32,52
drift-straight,98.0,99.50282494145198,49,50
drift-turn,100.0,99.71213133050351,64,64
drone,91.61073825503355,99.55570532122057,273,298
elephant,98.75,99.9537074307182,79,80
flamingo,100.0,99.61520540593287,80,80
goat,88.88888888888889,99.91724130453638,80,90
gold-fish,86.15384615384616,99.97236796673272,336,390
hike,100.0,99.89606508587042,80,80
hockey,97.22222222222221,99.82940085870412,210,216
horsejump-high,98.0,99.47018930523029,98,100
horsejump-low,100.0,99.61677888368463,120,120
india,99.5,99.81741694856449,199,200
judo,80.88235294117648,99.86540415346468,55,68
kid-football,98.46153846153847,99.47797202897551,128,130
kite-surf,97.10144927536231,99.94357923497267,134,138
kite-walk,100.0,99.86952027224825,240,240
koala,56.00000000000001,99.98040593286494,56,100
lab-coat,100.0,99.75261389871609,235,235
lady-running,100.0,99.81004924037711,112,112
libby,100.0,99.93900751166979,49,49
lindy-hop,99.29453262786596,99.71692772662625,563,567
loading,100.0,99.41761319281812,150,150
longboard,95.94594594594594,99.77032572959823,213,222
lucia,100.0,99.92714606334337,70,70
mallard-fly,98.57142857142858,99.94138229062116,69,70
mallard-water,100.0,99.87574404761904,80,80
mbike-trick,100.0,99.89246126443938,158,158
miami-surf,93.92712550607287,99.92921963867514,232,247
motocross-bumps,100.0,99.8502268735363,120,120
motocross-jump,81.25,99.94242169203747,65,80
motorbike,90.69767441860465,99.60038714303867,117,129
night-race,93.97590361445783,99.81367520279672,78,83
paragliding,100.0,99.97428069588491,140,140
paragliding-launch,77.08333333333334,99.94057681986729,185,240
parkour,100.0,99.90296887197502,100,100
pigs,53.16455696202531,99.99005980790324,126,237
planes-water,18.421052631578945,99.99570519536546,14,76
rallye,92.0,99.68199160811866,46,50
rhino,100.0,99.90410052910055,90,90
rollerblade,100.0,99.8056693989071,35,35
schoolgirls,96.96428571428571,99.789568696331,543,560
scooter-black,86.04651162790698,98.85864286622005,74,86
scooter-board,96.5986394557823,99.5478131353424,142,147
scooter-gray,100.0,99.7521174863388,150,150
sheep,99.11764705882354,99.92316650020665,337,340
shooting,97.5,99.89145236545139,117,120
skate-park,100.0,99.45886697404372,147,147
snowboard,100.0,99.45401763537009,132,132
soapbox,100.0,99.89433513511382,297,297
soccerball,45.83333333333333,99.78850039845173,22,48
stroller,99.45054945054946,99.90955351245164,181,182
stunt,100.0,99.72034048553617,142,142
surf,99.33333333333333,99.81498385494288,149,150
swing,100.0,99.90657933255268,180,180
tennis,99.3421052631579,99.76744591279135,151,152
tractor-sand,98.24561403508771,99.84830480401824,224,228
train,99.0625,99.84604922911788,317,320
tuk-tuk,100.0,99.70125216660712,177,177
upside-down,100.0,99.1960682759863,130,130
varanus-cage,100.0,99.78263687417713,67,67
walking,97.63779527559055,99.61276658318155,124,127
