Dataset,Sequence,Sparsity,Coverage
DAVIS,bear,0.9957309044342286,1.0
DAVIS,bike-packing,0.9856315987933636,1.0
DAVIS,blackswan,0.9931992703404546,1.0
DAVIS,bmx-bumps,0.9884551877483356,0.9325842696629213
DAVIS,bmx-trees,0.9939565237798793,0.9873417721518988
DAVIS,boat,0.9979425781167582,1.0
DAVIS,boxing-fisheye,0.9830831427119078,1.0
DAVIS,breakdance,0.9872994025281454,1.0
DAVIS,breakdance-flare,0.9954100103156017,1.0
DAVIS,bus,0.9806834183144101,0.9493670886075949
DAVIS,camel,0.9931670964572973,1.0
DAVIS,car-roundabout,0.984424910859337,0.8378378378378378
DAVIS,car-shadow,0.9785965741908365,0.8461538461538461
DAVIS,car-turn,0.9865622128183084,0.6835443037974683
DAVIS,cat-girl,0.9770062296261185,0.8977272727272727
DAVIS,classic-car,0.9672124852056105,0.9193548387096774
DAVIS,color-run,0.987119643680107,1.0
DAVIS,cows,0.9954928217108904,1.0
DAVIS,crossing,0.9907400391850729,1.0
DAVIS,dance-jump,0.9948703508911205,1.0
DAVIS,dance-twirl,0.9889097023042042,0.9887640449438202
DAVIS,dancing,0.9741396561984105,1.0
DAVIS,disc-jockey,0.9981744288224956,0.96
DAVIS,dog,0.9969331758821895,0.9830508474576272
DAVIS,dog-agility,0.9809410982630756,1.0
DAVIS,dog-gooses,0.9866748748679799,1.0
DAVIS,dogs-jump,0.9964027127244341,1.0
DAVIS,dogs-scale,0.9818829016012643,1.0
DAVIS,drift-chicane,0.9985374477659915,1.0
DAVIS,drift-straight,0.9846811324061241,0.9795918367346939
DAVIS,drift-turn,0.9846127157602568,0.9841269841269841
DAVIS,drone,0.9873154111371322,0.9666666666666667
DAVIS,elephant,0.9984771032816527,1.0
DAVIS,flamingo,0.98640142195081,1.0
DAVIS,goat,0.9901841630923873,0.9101123595505618
DAVIS,gold-fish,0.9962096500299076,1.0
DAVIS,hike,0.993151148973804,0.9873417721518988
DAVIS,hockey,0.9865715393379327,0.9324324324324325
DAVIS,horsejump-high,0.9831009335818636,0.9795918367346939
DAVIS,horsejump-low,0.9860080181002661,1.0
DAVIS,india,0.990974763368462,1.0
DAVIS,judo,0.9940729011425731,1.0
DAVIS,kid-football,0.976774718328731,0.9701492537313433
DAVIS,kite-surf,0.9911106597205627,0.9795918367346939
DAVIS,kite-walk,0.9926026319430034,1.0
DAVIS,koala,0.998112048470655,1.0
DAVIS,lab-coat,0.9840324092930117,0.9565217391304348
DAVIS,lady-running,0.9863840048058158,1.0
DAVIS,libby,0.9951185597189696,1.0
DAVIS,lindy-hop,0.9799701093438286,1.0
DAVIS,loading,0.9885587431693991,0.9795918367346939
DAVIS,longboard,0.9831309983009598,0.8431372549019608
DAVIS,lucia,0.9964215004129475,1.0
DAVIS,mallard-fly,0.9947840299697925,1.0
DAVIS,mallard-water,0.9722667096512811,0.8607594936708861
DAVIS,mbike-trick,0.9939903533397386,1.0
DAVIS,miami-surf,0.9950765578861622,1.0
DAVIS,motocross-bumps,0.9859616262453856,0.9322033898305084
DAVIS,motocross-jump,0.9920808187713925,0.9743589743589743
DAVIS,motorbike,0.9752492937065537,0.8571428571428571
DAVIS,night-race,0.9933955134877269,0.9111111111111111
DAVIS,paragliding,0.9973689104413446,1.0
DAVIS,paragliding-launch,0.9956291255348373,1.0
DAVIS,parkour,0.9905928183079824,1.0
DAVIS,pigs,0.998203902199804,0.9871794871794872
DAVIS,planes-water,0.9997849283709939,1.0
DAVIS,rallye,0.9915442435756504,0.9795918367346939
DAVIS,rhino,0.9968366258365567,1.0
DAVIS,rollerblade,0.9937321342471414,1.0
DAVIS,schoolgirls,0.9921031519580235,1.0
DAVIS,scooter-black,0.9720809635329543,0.8333333333333334
DAVIS,scooter-board,0.9788938221007891,0.9555555555555556
DAVIS,scooter-gray,0.9805826647783614,0.9864864864864865
DAVIS,sheep,0.9972961597166392,1.0
DAVIS,shooting,0.9899382066862534,1.0
DAVIS,skate-park,0.9848526480004743,1.0
DAVIS,snowboard,0.970765290037831,0.9846153846153847
DAVIS,soapbox,0.9836476554907677,0.9285714285714286
DAVIS,soccerball,0.9937425257860385,1.0
DAVIS,stroller,0.9897516859658252,0.9888888888888889
DAVIS,stunt,0.9918819700011152,1.0
DAVIS,surf,0.9945656062971637,1.0
DAVIS,swing,0.9863739018113498,0.9830508474576272
DAVIS,tennis,0.9878745870526877,1.0
DAVIS,tractor-sand,0.9949007936507934,1.0
DAVIS,train,0.983031051443196,0.9620253164556962
DAVIS,tuk-tuk,0.973428078481251,0.9827586206896551
DAVIS,upside-down,0.9654330036958431,0.890625
DAVIS,varanus-cage,0.9896813199323444,0.9393939393939394
DAVIS,walking,0.9755088248067639,0.9577464788732394
Middlebury,Beanbags,0.9917545572916665,1.0
Middlebury,Dimetrodon,0.9962487642988278,1.0
Middlebury,DogDance,0.9898497953869049,1.0
Middlebury,Grove2,0.986449962797619,1.0
Middlebury,Grove3,0.9790155319940477,1.0
Middlebury,Hydrangea,0.98641800492263,1.0
Middlebury,MiniCooper,0.981127697172619,1.0
Middlebury,RubberWhale,0.9962935269433293,1.0
Middlebury,Urban2,0.9949800037202382,1.0
Middlebury,Urban3,0.9953497023809524,1.0
Middlebury,Venus,0.9921679197994987,1.0
Middlebury,Walking,0.9847814360119048,1.0
