metric,dense,sparse_gated
map,0.0005604256293736398,0.001471980125643313
map_50,0.001809729728847742,0.003847082844004035
map_75,0.0003094059356953949,0.001314574503339827
map_large,0.0013460799818858504,0.0041628009639680386
map_medium,0.0003941778268199414,0.0005199931911192834
map_small,7.920792268123478e-05,8.25082533992827e-05
mar_1,0.002850877121090889,0.004605263005942106
mar_10,0.007675438653677702,0.009210526011884212
mar_100,0.007675438653677702,0.009210526011884212
mar_large,0.013636363670229912,0.019090909510850906
mar_medium,0.00756302522495389,0.0079831937327981
mar_small,0.0018518518190830946,0.0018518518190830946
mean_latency_ms,52.96,207.47
mean_sparsity_pct,0.0,97.52
