frame,n_gt,n_dense_pred,n_foveal_pred,n_combined_pred,n_clusters,sparsity_pct,dense_lat_ms,foveal_lat_ms,total_sparse_lat_ms,roi_x1,roi_y1,roi_x2,roi_y2
000000_10,1,18,0,15,3,94.64,93.3,183.53,276.83,131,0,1131,375
000001_10,1,19,0,16,3,96.01,48.31,142.92,191.23,348,8,626,375
000002_10,1,4,1,4,3,97.09,49.64,151.47,201.11,35,0,1242,375
000003_10,1,2,0,2,3,96.34,49.71,141.54,191.24,0,0,538,375
000004_10,2,15,0,13,3,96.5,47.61,145.68,193.29,147,0,1242,186
000005_10,1,19,0,12,3,96.58,51.22,143.5,194.72,21,119,338,375
000006_10,3,10,1,9,3,95.64,49.49,143.99,193.48,85,0,1242,375
000007_10,3,7,0,6,3,96.93,50.69,149.99,200.68,329,0,1242,264
000008_10,4,11,0,9,3,96.85,49.19,145.25,194.45,410,0,1242,294
000009_10,2,5,0,5,3,97.29,49.78,147.64,197.42,568,0,881,355
000010_10,5,3,0,3,3,97.75,50.41,147.37,197.78,0,0,1242,368
000011_10,4,3,2,4,3,98.53,51.18,148.67,199.84,452,8,1156,280
000012_10,1,1,1,1,3,99.16,51.03,168.33,219.36,99,27,942,336
000013_10,1,10,2,8,3,97.76,52.72,150.32,203.04,89,0,521,283
000014_10,1,10,7,8,3,97.83,50.92,147.81,198.73,149,0,1068,326
000015_10,4,12,3,8,3,98.63,50.54,153.68,204.22,122,57,1242,348
000016_10,2,9,2,7,3,98.7,51.12,150.5,201.62,122,70,1216,372
000017_10,1,6,3,6,3,98.77,52.62,150.41,203.03,0,83,935,360
000018_10,1,6,0,4,3,96.68,50.09,150.71,200.8,0,0,928,375
000019_10,2,4,1,3,3,97.35,59.39,185.13,244.53,0,136,590,375
000020_10,1,4,0,4,3,97.22,50.98,146.85,197.83,32,250,774,375
000021_10,4,5,0,4,3,95.82,52.1,172.16,224.26,90,267,328,375
000022_10,2,3,0,3,3,96.38,58.81,183.58,242.39,137,0,1209,375
000023_10,1,5,0,5,3,96.56,61.61,166.98,228.6,258,0,1242,375
000024_10,3,8,0,7,3,98.45,50.13,153.91,204.04,0,0,1242,361
000025_10,4,6,1,7,3,96.78,51.49,169.42,220.91,540,0,1031,202
000026_10,1,4,1,4,3,98.13,66.23,182.0,248.23,583,0,1086,375
000027_10,1,5,0,5,3,97.97,55.38,152.9,208.29,733,0,1242,375
000028_10,1,4,0,4,3,97.03,50.59,148.63,199.23,712,0,869,375
000029_10,1,5,0,5,3,97.1,50.99,151.57,202.57,556,0,1242,161
000030_10,1,5,0,5,3,97.1,51.96,148.36,200.31,194,0,1242,375
000031_10,4,8,0,7,3,96.96,51.3,147.12,198.42,1061,0,1242,310
000032_10,4,5,0,5,3,96.79,51.91,154.08,205.99,594,0,1167,375
000033_10,1,5,1,5,3,96.72,49.77,148.46,198.23,581,0,1242,375
000034_10,2,9,1,9,3,96.95,50.4,149.98,200.38,113,84,1242,375
000035_10,3,6,0,6,3,97.92,51.01,145.79,196.8,776,54,1242,375
000036_10,5,6,0,6,3,97.53,51.81,147.64,199.45,671,0,1223,375
000037_10,1,7,0,7,3,97.91,50.61,150.12,200.73,749,235,1153,375
000038_10,9,6,0,6,3,97.67,49.32,150.0,199.31,130,0,1242,220
000039_10,4,5,0,5,3,98.23,49.88,146.13,196.0,0,0,1242,263
000040_10,2,8,0,8,3,98.65,53.81,147.64,201.45,714,22,1101,375
000041_10,1,8,3,7,3,97.76,50.03,147.1,197.13,446,0,1114,313
000042_10,1,6,0,6,3,97.79,50.11,191.6,241.71,700,116,1242,375
000043_10,4,1,3,3,3,99.28,65.22,176.14,241.36,0,14,1082,293
000044_10,1,1,1,1,3,99.56,53.14,150.08,203.22,0,14,1082,293
000045_10,5,2,2,2,3,98.68,54.37,148.18,202.55,0,0,1197,306
000046_10,4,1,1,1,3,98.91,51.1,149.62,200.72,261,14,1082,302
000047_10,6,3,2,3,3,99.44,49.9,152.23,202.13,0,14,1161,327
000048_10,3,5,3,5,3,99.5,61.09,191.69,252.78,0,14,1082,353
000049_10,6,4,7,7,3,98.4,50.44,154.08,204.51,261,14,1242,375
000050_10,3,6,0,6,3,98.9,53.5,150.5,204.01,0,14,382,232
000051_10,1,4,1,5,3,99.21,50.25,150.3,200.55,0,14,1239,370
000052_10,5,5,1,5,3,99.09,52.22,149.91,202.12,0,14,1242,315
000053_10,5,5,4,5,3,99.25,50.73,149.4,200.13,575,98,1082,286
000054_10,1,1,0,1,3,97.48,52.6,146.75,199.35,113,0,1123,325
000055_10,4,2,0,2,3,97.54,49.84,154.39,204.24,0,0,218,346
000056_10,1,2,1,2,3,98.43,50.83,147.59,198.42,272,0,599,375
000057_10,2,3,0,3,3,97.04,63.32,200.24,263.56,1080,0,1242,375
000058_10,1,2,0,2,3,95.94,51.99,149.2,201.18,428,211,1242,375
000059_10,3,3,0,3,3,96.39,51.28,148.79,200.07,457,0,1242,372
000060_10,2,0,0,0,2,94.55,51.91,106.94,158.84,523,273,808,375
000061_10,1,2,0,2,3,95.7,51.12,148.15,199.27,376,302,797,375
000062_10,4,1,0,1,3,97.19,51.22,148.06,199.28,0,0,654,375
000063_10,1,1,0,1,3,96.61,50.84,146.9,197.74,972,0,1242,224
000064_10,3,2,0,2,3,95.66,51.14,149.56,200.7,101,0,1230,205
000065_10,1,2,0,2,3,95.11,50.43,149.81,200.24,0,150,628,375
000066_10,2,3,0,2,3,96.43,52.21,149.03,201.24,50,0,1125,268
000067_10,4,2,0,2,3,95.18,50.7,147.59,198.29,0,0,216,357
000068_10,4,1,0,1,3,96.22,52.24,148.56,200.8,87,0,1242,234
000069_10,2,1,0,1,3,94.57,52.06,147.55,199.61,49,0,1141,371
000070_10,1,1,0,1,3,96.43,50.59,167.75,218.34,1012,33,1242,223
000071_10,1,1,0,1,3,97.78,47.92,150.03,197.96,331,0,1242,375
000072_10,3,6,1,6,3,96.63,50.77,149.63,200.41,0,0,633,375
000073_10,5,4,1,4,3,97.9,50.77,149.54,200.31,0,143,502,375
000074_10,3,5,0,5,3,97.02,52.07,150.07,202.14,549,0,774,284
000075_10,3,6,0,6,3,97.68,50.69,146.91,197.6,114,180,1078,375
000076_10,6,5,0,5,3,98.17,49.98,149.25,199.23,636,0,1242,375
000077_10,1,6,0,6,3,96.49,52.01,147.75,199.76,123,190,934,375
000078_10,3,5,0,5,3,97.96,51.89,156.43,208.32,705,0,1242,375
000079_10,4,6,0,6,3,97.77,62.84,207.8,270.64,697,70,1242,375
000080_10,4,3,0,3,3,98.03,56.83,157.18,214.0,898,87,1242,207
000081_10,1,5,0,5,3,96.5,52.17,150.68,202.85,379,267,644,375
000082_10,1,6,0,5,3,98.49,51.6,149.54,201.14,639,0,1224,375
000083_10,4,14,4,13,3,97.86,59.54,161.08,220.61,250,0,1074,283
000084_10,1,1,0,1,3,97.64,51.33,148.13,199.46,0,0,1242,375
000085_10,1,2,0,2,3,98.29,51.94,150.09,202.02,275,0,1105,375
000086_10,2,2,1,2,3,98.45,54.57,150.33,204.9,171,0,1102,375
000087_10,5,25,4,21,3,97.79,51.35,148.64,199.99,371,0,1242,298
000088_10,1,8,0,7,3,96.75,49.83,162.44,212.27,581,0,1242,226
000089_10,4,21,7,17,3,99.14,53.04,154.57,207.61,35,0,972,289
000090_10,1,20,5,18,3,98.52,51.91,148.97,200.88,0,0,972,247
000091_10,1,24,6,21,3,98.51,56.59,153.28,209.87,403,0,1242,244
000092_10,4,25,13,23,3,99.16,51.18,151.11,202.29,245,0,1242,286
000093_10,5,18,8,17,3,97.88,60.57,171.01,231.58,284,0,972,244
