frame,n_gt,n_dense_pred,n_foveal_pred,n_combined_pred,n_clusters,sparsity_pct,dense_lat_ms,foveal_lat_ms,total_sparse_lat_ms,roi_x1,roi_y1,roi_x2,roi_y2
000000_10,1,18,0,18,3,94.64,82.15,154.14,236.3,106,0,1156,375
000001_10,1,19,1,18,3,96.01,51.87,152.64,204.51,2,0,651,342
000002_10,1,4,1,4,3,97.09,62.15,170.1,232.25,655,0,1242,375
000003_10,1,2,0,2,3,96.34,59.88,172.09,231.97,0,0,563,375
000004_10,2,15,1,14,3,96.5,54.29,157.33,211.62,562,0,1242,375
000005_10,1,19,0,19,3,96.58,53.62,155.42,209.04,0,94,363,375
000006_10,3,10,1,10,3,95.64,52.19,160.37,212.56,864,0,1242,375
000007_10,3,7,0,7,3,96.93,53.14,152.76,205.91,304,0,1242,289
000008_10,4,11,0,11,3,96.85,51.96,166.25,218.21,385,1,1222,319
000009_10,2,5,0,5,3,97.29,57.16,172.02,229.18,543,0,906,375
000010_10,5,3,0,3,3,97.75,52.64,154.39,207.03,0,0,1242,375
000011_10,4,3,2,4,3,98.53,51.75,156.54,208.29,427,0,1181,305
000012_10,1,1,1,1,3,99.16,55.47,153.66,209.14,74,2,967,361
000013_10,1,10,4,10,3,97.76,56.8,158.02,214.82,64,0,546,308
000014_10,1,10,8,9,3,97.83,52.71,151.04,203.75,124,0,1093,351
000015_10,4,12,3,9,3,98.63,49.01,152.96,201.96,97,32,1242,373
000016_10,2,9,7,11,3,98.7,55.69,164.62,220.31,97,45,1241,375
000017_10,1,6,4,5,3,98.77,51.16,157.51,208.67,0,58,960,375
000018_10,1,6,0,6,3,96.68,52.14,156.54,208.67,0,0,616,375
000019_10,2,4,1,3,3,97.35,52.19,160.99,213.18,0,111,615,375
